id,name,class
train_index_05609,bridge,7
train_index_05796,bridge,7
train_index_05937,bridge,7
train_index_05983,bridge,7
train_index_06003,bridge,7
train_index_06031,bridge,7
train_index_06076,bridge,7
train_index_06189,bridge,7
train_index_06217,bridge,7
train_index_06289,bridge,7
train_index_06702,bridge,7
train_index_06784,bridge,7
train_index_06833,bridge,7
train_index_06835,bridge,7
train_index_06918,bridge,7
train_index_07074,bridge,7
train_index_07325,bridge,7
train_index_07350,bridge,7
train_index_07601,bridge,7
train_index_07604,bridge,7
train_index_07669,bridge,7
train_index_07825,bridge,7
train_index_07988,bridge,7
train_index_07992,bridge,7
train_index_08024,bridge,7
train_index_08232,bridge,7
train_index_08325,bridge,7
train_index_08400,bridge,7
train_index_08421,bridge,7
train_index_08425,bridge,7
train_index_08682,bridge,7
train_index_08695,bridge,7
train_index_08749,bridge,7
train_index_08816,bridge,7
train_index_08832,bridge,7
train_index_08839,bridge,7
train_index_08889,bridge,7
train_index_08938,bridge,7
train_index_09017,bridge,7
train_index_09076,bridge,7
train_index_09136,bridge,7
train_index_09203,bridge,7
train_index_09466,bridge,7
train_index_09574,bridge,7
train_index_10034,bridge,7
train_index_10279,bridge,7
train_index_10307,bridge,7
train_index_10558,bridge,7
train_index_10784,bridge,7
train_index_10797,bridge,7
train_index_10809,bridge,7
train_index_10907,bridge,7
train_index_10998,bridge,7
train_index_11012,bridge,7
train_index_11022,bridge,7
train_index_11224,bridge,7
train_index_11244,bridge,7
train_index_11378,bridge,7
train_index_11403,bridge,7
train_index_11450,bridge,7
train_index_11482,bridge,7
train_index_11572,bridge,7
train_index_11573,bridge,7
train_index_11590,bridge,7
train_index_11612,bridge,7
train_index_11613,bridge,7
train_index_11783,bridge,7
train_index_11860,bridge,7
train_index_11891,bridge,7
train_index_11957,bridge,7
train_index_11959,bridge,7
train_index_12005,bridge,7
train_index_12123,bridge,7
train_index_12178,bridge,7
train_index_12333,bridge,7
train_index_12497,bridge,7
train_index_12551,bridge,7
train_index_12676,bridge,7
train_index_12787,bridge,7
train_index_12799,bridge,7
train_index_13033,bridge,7
train_index_13087,bridge,7
train_index_13285,bridge,7
train_index_13408,bridge,7
train_index_13517,bridge,7
train_index_13818,bridge,7
train_index_13991,bridge,7
train_index_14134,bridge,7
train_index_14136,bridge,7
train_index_14194,bridge,7
train_index_14320,bridge,7
train_index_14371,bridge,7
train_index_14411,bridge,7
train_index_14538,bridge,7
train_index_14684,bridge,7
train_index_14878,bridge,7
train_index_14933,bridge,7
train_index_15081,bridge,7
train_index_15144,bridge,7
train_index_15159,bridge,7
train_index_05766,clock,8
train_index_05794,clock,8
train_index_05828,clock,8
train_index_05885,clock,8
train_index_06019,clock,8
train_index_06027,clock,8
train_index_06090,clock,8
train_index_06300,clock,8
train_index_06369,clock,8
train_index_06376,clock,8
train_index_06526,clock,8
train_index_06544,clock,8
train_index_06669,clock,8
train_index_06674,clock,8
train_index_06762,clock,8
train_index_06771,clock,8
train_index_06881,clock,8
train_index_06968,clock,8
train_index_07057,clock,8
train_index_07341,clock,8
train_index_07499,clock,8
train_index_07610,clock,8
train_index_07678,clock,8
train_index_07696,clock,8
train_index_07705,clock,8
train_index_07761,clock,8
train_index_07784,clock,8
train_index_07888,clock,8
train_index_08016,clock,8
train_index_08088,clock,8
train_index_08117,clock,8
train_index_08126,clock,8
train_index_08140,clock,8
train_index_08341,clock,8
train_index_08389,clock,8
train_index_08402,clock,8
train_index_08411,clock,8
train_index_08429,clock,8
train_index_08436,clock,8
train_index_08603,clock,8
train_index_08638,clock,8
train_index_08656,clock,8
train_index_08706,clock,8
train_index_08920,clock,8
train_index_08942,clock,8
train_index_09038,clock,8
train_index_09104,clock,8
train_index_09171,clock,8
train_index_09204,clock,8
train_index_09221,clock,8
train_index_09305,clock,8
train_index_09322,clock,8
train_index_09640,clock,8
train_index_09681,clock,8
train_index_09828,clock,8
train_index_10003,clock,8
train_index_10240,clock,8
train_index_10251,clock,8
train_index_10291,clock,8
train_index_10422,clock,8
train_index_10476,clock,8
train_index_10512,clock,8
train_index_10652,clock,8
train_index_10656,clock,8
train_index_10662,clock,8
train_index_10817,clock,8
train_index_10826,clock,8
train_index_10936,clock,8
train_index_10976,clock,8
train_index_10992,clock,8
train_index_11002,clock,8
train_index_11203,clock,8
train_index_11299,clock,8
train_index_11429,clock,8
train_index_11443,clock,8
train_index_11635,clock,8
train_index_11693,clock,8
train_index_11850,clock,8
train_index_11972,clock,8
train_index_12306,clock,8
train_index_12317,clock,8
train_index_12429,clock,8
train_index_12627,clock,8
train_index_12648,clock,8
train_index_12670,clock,8
train_index_12675,clock,8
train_index_12726,clock,8
train_index_12872,clock,8
train_index_12994,clock,8
train_index_13084,clock,8
train_index_13150,clock,8
train_index_13209,clock,8
train_index_13434,clock,8
train_index_13447,clock,8
train_index_13573,clock,8
train_index_13615,clock,8
train_index_13630,clock,8
train_index_13781,clock,8
train_index_13935,clock,8
train_index_13977,clock,8
train_index_05118,orchid,9
train_index_05128,orchid,9
train_index_05298,orchid,9
train_index_05336,orchid,9
train_index_05428,orchid,9
train_index_05630,orchid,9
train_index_05717,orchid,9
train_index_06048,orchid,9
train_index_06276,orchid,9
train_index_06312,orchid,9
train_index_06451,orchid,9
train_index_06512,orchid,9
train_index_06525,orchid,9
train_index_06592,orchid,9
train_index_06725,orchid,9
train_index_06794,orchid,9
train_index_07251,orchid,9
train_index_07259,orchid,9
train_index_07275,orchid,9
train_index_07355,orchid,9
train_index_07642,orchid,9
train_index_07725,orchid,9
train_index_07815,orchid,9
train_index_07847,orchid,9
train_index_08038,orchid,9
train_index_08053,orchid,9
train_index_08146,orchid,9
train_index_08202,orchid,9
train_index_08363,orchid,9
train_index_08433,orchid,9
train_index_08610,orchid,9
train_index_08671,orchid,9
train_index_08791,orchid,9
train_index_08910,orchid,9
train_index_09082,orchid,9
train_index_09179,orchid,9
train_index_09239,orchid,9
train_index_09270,orchid,9
train_index_09346,orchid,9
train_index_09394,orchid,9
train_index_09395,orchid,9
train_index_09564,orchid,9
train_index_09749,orchid,9
train_index_09942,orchid,9
train_index_10027,orchid,9
train_index_10041,orchid,9
train_index_10206,orchid,9
train_index_10229,orchid,9
train_index_10385,orchid,9
train_index_10617,orchid,9
train_index_10668,orchid,9
train_index_10775,orchid,9
train_index_10802,orchid,9
train_index_10857,orchid,9
train_index_10893,orchid,9
train_index_10925,orchid,9
train_index_11209,orchid,9
train_index_11407,orchid,9
train_index_11459,orchid,9
train_index_11584,orchid,9
train_index_11606,orchid,9
train_index_11669,orchid,9
train_index_11697,orchid,9
train_index_11810,orchid,9
train_index_11851,orchid,9
train_index_11918,orchid,9
train_index_12062,orchid,9
train_index_12166,orchid,9
train_index_12200,orchid,9
train_index_12417,orchid,9
train_index_12454,orchid,9
train_index_12468,orchid,9
train_index_12473,orchid,9
train_index_12507,orchid,9
train_index_12875,orchid,9
train_index_12883,orchid,9
train_index_12939,orchid,9
train_index_12978,orchid,9
train_index_12983,orchid,9
train_index_13066,orchid,9
train_index_13070,orchid,9
train_index_13071,orchid,9
train_index_13346,orchid,9
train_index_13419,orchid,9
train_index_13428,orchid,9
train_index_13549,orchid,9
train_index_13551,orchid,9
train_index_13574,orchid,9
train_index_13587,orchid,9
train_index_13817,orchid,9
train_index_13929,orchid,9
train_index_14049,orchid,9
train_index_14184,orchid,9
train_index_14304,orchid,9
train_index_14325,orchid,9
train_index_14386,orchid,9
train_index_14523,orchid,9
train_index_14685,orchid,9
train_index_14713,orchid,9
train_index_14737,orchid,9
